putativeCellType,geneticLine,acgPeak,troughtToPeak,brainRegion,lightResponse,rateDuringRipples,preferedThetaphase,thetaModulation,sessionName
Narrow Interneuron,id2/dlx/ai80,1.9,0.316666666666667,PTLp,0,-1.78779682684858,5.24334497190693,0.176934224038348,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.42,0.525,CA3,0,3.21889461934342,2.15303257210175,0.325085465666759,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,0.741666666666667,DG,0,9.5976740995509,2.81216983803602,0.221877870066887,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.86,0.708333333333333,PTLp,0,0.852802865422442,6.07579958935729,0.0176838266343393,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.641666666666667,PTLp,0,3.05361908436251,1.14457281054049,0.0260058805353115,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.54,0.475,CA3,0,-1.58214841896759,4.18919802779834,0.171070752205016,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.18,0.583333333333333,DG,0,18.1646015949983,3.04514294791402,0.145366447228103,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.725,PTLp,0,1.18855341897972,2.90709247818949,0.0294023610929715,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.86,0.541666666666667,PTLp,0,3.1327945370234,6.13266701567454,0.0376999470051782,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,0.94,0.6,PTLp,0,0.0947509891508051,0.629235854535137,0.0381582920010008,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.82,0.291666666666667,PTLp,0,5.23531250194161,2.58576621646325,0.0174077999437883,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.74,0.558333333333333,PTLp,0,1.45401239432642,4.16930490689638,0.0201030358117304,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.14,0.35,DG,0,-3.04752757869249,1.56207217948867,0.476758086365058,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.26,0.416666666666667,DG,0,3.4894729085374,1.70199167314981,0.187382697101111,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.02,0.658333333333333,PTLp,0,2.59543338790662,1.33040030468518,0.0169030330358482,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.616666666666667,CA1sp,0,1.51651907559181,6.18329348055926,0.349391288036217,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,0.5,CA3,0,1.87022710749678,2.09201555995264,0.253412163845784,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.34,0.625,DG,0,11.8762179079947,2.37593510057089,0.237578599960202,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,0.9,0.675,PTLp,0,0.908682096204098,0.590909832265423,0.0161745134785816,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.9,0.466666666666667,PTLp,0,3.31670135689423,2.18541662789459,0.00806812870016129,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.82,0.316666666666667,PTLp,0,-0.590565212612101,5.31537484990669,0.067752535356614,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.18,0.575,CA1sp,0,2.34823496022152,3.48828625885802,0.217836410812767,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.82,0.6,PTLp,0,1.36177192482188,2.36231920986172,0.0366389472998246,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.7,0.558333333333333,PTLp,0,1.76509978222308,4.40380330819667,0.0208605530922104,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.82,0.558333333333333,PTLp,0,1.43402370198107,5.58209713278359,0.0252903487499583,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.34,0.541666666666667,PTLp,0,1.36117922450817,4.34468312166245,0.0233354777531835,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.38,0.633333333333333,PTLp,0,2.440901854781,4.24997662843798,0.0119365684712185,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.34,0.366666666666667,CA3,0,3.90322852780868,2.34060515595515,0.384884029440457,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.38,0.591666666666667,PTLp,0,0.986716225201651,5.47050721912065,0.0252666535412818,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.54,0.491666666666667,PTLp,0,1.25992439492484,2.92291462314863,0.00628112889044251,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.14,0.525,PTLp,0,1.34715062810913,0.597897931436167,0.0113262287803203,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.1,0.541666666666667,PTLp,0,1.36108470327096,1.9329664237117,0.0296355416504787,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.26,0.533333333333333,CA1sp,0,3.22713524259024,3.25849564596681,0.206308776831541,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.86,0.35,CA3,0,4.52622850216337,2.57506837027675,0.37271906845186,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,1.7,0.275,PTLp,0,0.636306586023765,2.98418182844207,0.0101756409382124,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.26,0.633333333333333,CA1sp,0,4.12587266259557,3.39343080832445,0.236990909510901,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.26,0.741666666666667,PTLp,0,0.255654996282457,6.16215868089295,0.00788809512540357,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.58,0.525,DG,0,5.03435938967385,3.04285401560784,0.146904801222112,fnkx9_200818_sess2
Narrow Interneuron,id2/dlx/ai80,2.22,0.25,CA1sp,0,7.30495015747247,2.43683595011993,0.365520561293113,fnkx9_200818_sess2
Wide Interneuron,id2/dlx/ai80,1.18,0.666666666666667,PTLp,0,2.84287519727558,4.17264255790993,0.00116712263505834,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.3,0.708333333333333,PTLp,0,2.98849399171284,4.29885133259189,0.0230606522287953,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.78,0.491666666666667,PTLp,0,1.73748897105228,3.41274839084615,0.0380348787368552,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,2.02,0.7,PTLp,0,1.22515579446096,5.59339065343938,0.00710857068797706,fnkx9_200818_sess2
Pyramidal Cell,id2/dlx/ai80,1.18,0.658333333333333,PTLp,0,0.666989854238313,3.18939133643298,0.0297076528467201,fnkx9_200818_sess2
