SessionName,Subject,Path,Location,Strain,GeneticLine,Optogenetics,Behavior,numCells,brainRegions,Project,n� neurons,Pyr,Inh,A,B,Neuroscope,
app2_250331_sess1,app2,app2\app2_250331_sess1,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,18,PTLp CA1so CA1sp,POTometry,,,,,,no,1
app2_250401_sess2,app2,app2\app2_250401_sess2,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,18,CA1 CA1so pCA1sp CA3 CA1sp CA1slm CA1sr,POTometry,,,,,,no,
app2_250407_sess6,app2,app2\app2_250407_sess6,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,24,CA3 CA1 PTLp,POTometry,,,,,,no,
app2_250409_sess8,app2,app2\app2_250409_sess8,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",no,19,PTLp CA1 CA3,POTometry,,,,,,no,
app2_250410_sess9,app2,app2\app2_250410_sess9,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,17,PTLp CA1 CA3,POTometry,,,,,,no,
app2_250411_sess10,app2,app2\app2_250411_sess210,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,18,PTLp CA1 CA3,POTometry,,,,,,no,
app2_250417_sess14,app2,app2\app2_250417_sess14,neural3,c57b1/6,app/ps1,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,18,CA3 CA1 PTLp,POTometry,,,,,,no,
astro3_250605_sess6,astro3,astro3\astro3_250605_sess6,neural3,c57b1/6,wild type,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,50,CA1sp CA1so CA1sr,Astrometry,,,,,,no,2
astro5_250707_sess1,astro5,astro5\astro5_250707_sess1,neural3,c57b1/6,wild type,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",no,27,PTLp CA1so CA1sp CA1sr CA1slm CA3,Astrometry,,,,,,no,3
astro5_250708_sess2,astro5,astro5\astro5_250708_sess2,neural3,c57b1/6,wild type,"105µm (125µm), na 0.22 etched cone shaped (thorlabs, fg105lca)",tmaze,19,PTLp CA1so pCA1sp CA1sp CA1sr CA1slm CA3,Astrometry,,,,,,no,
