x(um),y(um)
288,-300
294.25,-260
307,-140
269,-160
321.25,-20
254.75,-40
316.5,-60
28.5,-240
44.25,-260
33.25,-280
57,-140
19,-160
52.25,-180
4.75,-40
66.5,-60
9.5,-80
302.25,-180
538,-300
259.5,-80
273.75,-200
23.75,-200
38,-300
0,0
61.75,-100
14.25,-120
47.5,-220
250,0
71.25,-20
264.25,-120
311.75,-100
297.5,-220
278.5,-240
547.5,-220
528.5,-240
514.25,-120
561.75,-100
500,0
821.25,-20
764.25,-120
797.5,-220
750,0
811.75,-100
773.75,-200
788,-300
509.5,-80
523.75,-200
552.25,-180
533.25,-280
816.5,-60
759.5,-80
802.25,-180
754.75,-40
807,-140
769,-160
794.25,-260
783.25,-280
566.5,-60
778.5,-240
571.25,-20
504.75,-40
557,-140
519,-160
283.25,-280
544.25,-260
1000,0
1000,-20
1000,-40
1000,-60
