x(um),y(um),ch(#)
617.3,80,1
617.3,60,2
617.3,40,3
617.3,20,4
800,30,5
800,50,6
800,70,7
800,90,8
800,10,9
800,-10,10
817.3,-20,11
817.3,0,12
817.3,80,13
817.3,60,14
817.3,40,15
817.3,20,16
408.65,-500,17
408.65,-300,18
408.65,-900,19
408.65,-700,20
408.65,-1100,21
408.65,-100,22
600,50,23
600,30,24
600,70,25
408.65,500,26
600,10,27
600,90,28
600,-10,29
408.65,1500,30
617.3,0,31
617.3,-20,32
200,-10,33
200,10,34
408.65,1000,35
217.3,-20,36
217.3,80,37
217.3,0,38
408.65,0,39
217.3,60,40
217.3,20,41
217.3,40,42
408.65,-200,43
408.65,-1200,44
408.65,-800,45
408.65,-1000,46
408.65,-400,47
408.65,-600,48
0,30,49
0,50,50
0,70,51
0,90,52
0,10,53
0,-10,54
17.3,-20,55
17.3,0,56
17.3,80,57
17.3,60,58
17.3,40,59
17.3,20,60
200,30,61
200,50,62
200,70,63
200,90,64
