x(um),y(um),ch(#)
1185.5,140,1
1187.5,100,2
1189.5,60,3
1191.5,20,4
1200,0,5
1208.5,40,6
1210.5,80,7
1212.5,120,8
1385.5,140,9
1387.5,100,10
1389.5,60,11
1391.5,20,12
1400,0,13
1408.5,40,14
1410.5,80,15
1412.5,120,16
800,0,17
791.5,20,18
810.5,80,19
808.5,40,20
812.5,120,21
789.5,60,22
987.5,100,23
985.5,140,24
989.5,60,25
787.5,100,26
1000,0,27
991.5,20,28
1008.5,40,29
785.5,140,30
1012.5,120,31
1010.5,80,32
387.5,100,33
385.5,140,34
612.5,120,35
389.5,60,36
400,0,37
391.5,20,38
610.5,80,39
408.5,40,40
412.5,120,41
410.5,80,42
608.5,40,43
585.5,140,44
589.5,60,45
587.5,100,46
600,0,47
591.5,20,48
-14.5,140,49
-12.5,100,50
-10.5,60,51
-8.5,20,52
0,0,53
8.5,40,54
10.5,80,55
12.5,120,56
185.5,140,57
187.5,100,58
189.5,60,59
191.5,20,60
200,0,61
208.5,40,62
210.5,80,63
212.5,120,64
