x(um),y(um),ch(#)
288,-300,1
294.25,-260,2
307,-140,3
269,-160,4
321.25,-20,5
254.75,-40,6
316.5,-60,7
28.5,-240,8
44.25,-260,9
33.25,-280,10
57,-140,11
19,-160,12
52.25,-180,13
4.75,-40,14
66.5,-60,15
9.5,-80,16
302.25,-180,17
538,-300,18
259.5,-80,19
273.75,-200,20
23.75,-200,21
38,-300,22
0,0,23
61.75,-100,24
14.25,-120,25
47.5,-220,26
250,0,27
71.25,-20,28
264.25,-120,29
311.75,-100,30
297.5,-220,31
278.5,-240,32
547.5,-220,33
528.5,-240,34
514.25,-120,35
561.75,-100,36
500,0,37
821.25,-20,38
764.25,-120,39
797.5,-220,40
750,0,41
811.75,-100,42
773.75,-200,43
788,-300,44
509.5,-80,45
523.75,-200,46
552.25,-180,47
533.25,-280,48
816.5,-60,49
759.5,-80,50
802.25,-180,51
754.75,-40,52
807,-140,53
769,-160,54
794.25,-260,55
783.25,-280,56
566.5,-60,57
778.5,-240,58
571.25,-20,59
504.75,-40,60
557,-140,61
519,-160,62
283.25,-280,63
544.25,-260,64
1000,0,65
1000,-20,66
1000,-40,67
1000,-60,68
