x(um),y(um),ch(#)
0,-840,1
0,-760,2
0,-700,3
0,-900,4
0,-640,5
0,-1260,6
0,-1020,7
0,-1160,8
0,-960,9
0,-1220,10
0,-1060,11
0,-1120,12
0,-680,13
0,-740,14
0,-860,15
0,-780,16
0,-1240,17
0,-1000,18
0,-1180,19
0,-980,20
0,-1200,21
0,-1040,22
0,-1140,23
0,-1100,24
0,-920,25
0,-1080,26
0,-940,27
0,-660,28
0,-880,29
0,-720,30
0,-460,31
0,-820,32
0,-480,33
0,-500,34
0,-560,35
0,-400,36
0,-620,37
0,-340,38
0,-600,39
0,-120,40
0,-180,41
0,-140,42
0,-240,43
0,-80,44
0,-220,45
0,-20,46
0,-280,47
0,-40,48
0,-540,49
0,-800,50
0,-360,51
0,-420,52
0,-100,53
0,-160,54
0,0,55
0,-260,56
0,-60,57
0,-200,58
0,-320,59
0,-300,60
0,-380,61
0,-580,62
0,-520,63
0,-440,64
