x(um),y(um),ch(#)
0,-480,1
0,-500,2
0,-560,3
0,-400,4
0,-620,5
0,-340,6
0,-600,7
0,-120,8
0,-180,9
0,-140,10
0,-240,11
0,-80,12
0,-220,13
0,-20,14
0,-280,15
0,-40,16
0,-540,17
0,-800,18
0,-360,19
0,-420,20
0,-100,21
0,-160,22
0,0,23
0,-260,24
0,-60,25
0,-200,26
0,-320,27
0,-300,28
0,-380,29
0,-580,30
0,-520,31
0,-440,32
0,-840,33
0,-760,34
0,-700,35
0,-900,36
0,-640,37
0,-1260,38
0,-1020,39
0,-1160,40
0,-960,41
0,-1220,42
0,-1060,43
0,-1120,44
0,-680,45
0,-740,46
0,-860,47
0,-780,48
0,-1240,49
0,-1000,50
0,-1180,51
0,-980,52
0,-1200,53
0,-1040,54
0,-1140,55
0,-1100,56
0,-920,57
0,-1080,58
0,-940,59
0,-660,60
0,-880,61
0,-720,62
0,-460,63
0,-820,64
