x(um),y(um),ch(#)
1182,0,1
1165.5,15,2
1182,30,3
1165.5,45,4
1182,60,5
1165.5,75,6
1182,90,7
1165.5,105,8
1182,120,9
1165.5,135,10
1182,150,11
1165.5,165,12
1182,180,13
1165.5,195,14
1182,210,15
1165.5,225,16
1015.5,0,17
999,15,18
1015.5,30,19
999,45,20
1015.5,60,21
999,75,22
1015.5,90,23
999,105,24
1015.5,120,25
999,135,26
1015.5,150,27
999,165,28
1015.5,180,29
999,195,30
1015.5,210,31
999,225,32
849,0,33
832.5,15,34
849,30,35
832.5,45,36
849,60,37
832.5,75,38
849,90,39
832.5,105,40
849,120,41
832.5,135,42
849,150,43
832.5,165,44
849,180,45
832.5,195,46
849,210,47
832.5,225,48
682.5,0,49
666,15,50
682.5,30,51
666,45,52
682.5,60,53
666,75,54
682.5,90,55
666,105,56
682.5,120,57
666,135,58
682.5,150,59
666,165,60
682.5,180,61
666,195,62
682.5,210,63
666,225,64
516,0,65
499.5,15,66
516,30,67
499.5,45,68
516,60,69
499.5,75,70
516,90,71
499.5,105,72
516,120,73
499.5,135,74
516,150,75
499.5,165,76
516,180,77
499.5,195,78
516,210,79
499.5,225,80
349.5,0,81
333,15,82
349.5,30,83
333,45,84
349.5,60,85
333,75,86
349.5,90,87
333,105,88
349.5,120,89
333,135,90
349.5,150,91
333,165,92
349.5,180,93
333,195,94
349.5,210,95
333,225,96
183,0,97
166.5,15,98
183,30,99
166.5,45,100
183,60,101
166.5,75,102
183,90,103
166.5,105,104
183,120,105
166.5,135,106
183,150,107
166.5,165,108
183,180,109
166.5,195,110
183,210,111
166.5,225,112
16.5,0,113
0,15,114
16.5,30,115
0,45,116
16.5,60,117
0,75,118
16.5,90,119
0,105,120
16.5,120,121
0,135,122
16.5,150,123
0,165,124
16.5,180,125
0,195,126
16.5,210,127
0,225,128
2222,100,129
2222,20,130
2182,40,131
2182,120,132
2472,100,133
2472,20,134
2432,40,135
2432,120,136
2432,80,137
2452,0,138
2472,60,139
2472,140,140
2182,80,141
2202,0,142
2222,60,143
2222,140,144
1932,120,145
1932,40,146
1972,20,147
1972,100,148
1682,120,149
1682,40,150
1722,20,151
1722,100,152
1722,140,153
1722,60,154
1702,0,155
1682,80,156
1972,140,157
1972,60,158
1952,0,159
1932,80,160
