x(um),y(um),ch(#)
0,-375,1
0,-350,2
0,-325,3
0,-300,4
0,-275,5
0,-250,6
0,-225,7
0,-200,8
0,-175,9
0,-150,10
0,-125,11
0,-100,12
0,-75,13
0,-50,14
0,-25,15
0,0,16
0,-775,17
0,-750,18
0,-725,19
0,-700,20
0,-675,21
0,-650,22
0,-625,23
0,-600,24
0,-575,25
0,-550,26
0,-525,27
0,-500,28
0,-475,29
0,-450,30
0,-425,31
0,-400,32
150,-375,33
150,-350,34
150,-325,35
150,-300,36
150,-275,37
150,-250,38
150,-225,39
150,-200,40
150,-175,41
150,-150,42
150,-125,43
150,-100,44
150,-75,45
150,-50,46
150,-25,47
150,0,48
150,-775,49
150,-750,50
150,-725,51
150,-700,52
150,-675,53
150,-650,54
150,-625,55
150,-600,56
150,-575,57
150,-550,58
150,-525,59
150,-500,60
150,-475,61
150,-450,62
150,-425,63
150,-400,64
300,-375,65
300,-350,66
300,-325,67
300,-300,68
300,-275,69
300,-250,70
300,-225,71
300,-200,72
300,-175,73
300,-150,74
300,-125,75
300,-100,76
300,-75,77
300,-50,78
300,-25,79
300,0,80
300,-775,81
300,-750,82
300,-725,83
300,-700,84
300,-675,85
300,-650,86
300,-625,87
300,-600,88
300,-575,89
300,-550,90
300,-525,91
300,-500,92
300,-475,93
300,-450,94
300,-425,95
300,-400,96
450,-375,97
450,-350,98
450,-325,99
450,-300,100
450,-275,101
450,-250,102
450,-225,103
450,-200,104
450,-175,105
450,-150,106
450,-125,107
450,-100,108
450,-75,109
450,-50,110
450,-25,111
450,0,112
450,-775,113
450,-750,114
450,-725,115
450,-700,116
450,-675,117
450,-650,118
450,-625,119
450,-600,120
450,-575,121
450,-550,122
450,-525,123
450,-500,124
450,-475,125
450,-450,126
450,-425,127
450,-400,128
600,0,129
600,-20,130
600,-10,131
600,-40,132
600,-30,133
600,-60,134
600,-50,135
