x(um),y(um),ch(#)
800,3600,1
400,3600,2
1200,3600,3
1600,3600,4
1600,2800,5
2000,3600,6
1600,3200,7
2400,3600,8
2000,3200,9
2800,3600,10
2400,3200,11
2800,3200,12
2400,2800,13
3200,3600,14
2000,2400,15
3200,3200,16
2000,2800,17
3600,3200,18
2400,2400,19
3200,2800,20
2800,2000,21
3600,2800,22
2800,2800,23
3600,2400,24
2800,2400,25
3600,2000,26
3200,2400,27
3600,1600,28
3200,2000,29
3600,1200,30
3200,1600,31
3600,800,32
800,3200,33
1200,3200,34
800,2800,35
1200,2800,36
800,2400,37
1200,2400,38
800,2000,39
1200,2000,40
800,1600,41
1600,2000,42
1200,1600,43
1600,1600,44
800,1200,45
2000,1600,46
1200,1200,47
1600,2400,48
1200,800,49
2000,2000,50
1600,1200,51
2400,1600,52
1600,800,53
2400,2000,54
2000,800,55
2000,1200,56
2400,800,57
2400,1200,58
2800,800,59
2800,1200,60
3200,800,61
2800,1600,62
3200,400,63
3200,1200,64
0,3200,65
400,3200,66
0,2800,67
400,2800,68
0,2400,69
400,2400,70
0,2000,71
400,2000,72
0,1600,73
400,1600,74
0,1200,75
400,1200,76
0,800,77
400,800,78
0,400,79
400,400,80
400,0,81
800,800,82
800,0,83
800,400,84
1200,0,85
1200,400,86
1600,400,87
1600,0,88
2000,400,89
2000,0,90
2400,400,91
2400,0,92
2800,0,93
2800,400,94
3600,400,95
3200,0,96
